Country	Code	Number	Subcontinent	Continent	Lat	Long
Rwanda	RWA	646	Eastern Africa	Africa	-2	30
Saint Barthélemy	BLM	652	Caribbean	North America	NA	NA
Saint Helena	SHN	654	Western Africa	Africa	-15.93	-5.7
Saint Kitts and Nevis	KNA	659	Caribbean	North America	17.33	-62.75
Saint Lucia	LCA	662	Caribbean	North America	13.88	-61.13
Saint Martin (French Part)	MAF	663	Caribbean	North America	NA	NA
Saint Pierre and Miquelon	SPM	666	Northern America	North America	46.83	-56.33
Saint Vincent and the Grenadines	VCT	670	Caribbean	North America	13.25	-61.2
Samoa	WSM	882	Polynesia	Oceania	-13.58	-172.33
San Marino	SMR	674	Southern Europe	Europe	43.77	12.42
Sao Tome and Principe	STP	678	Middle Africa	Africa	1	7
Sark		680	Northern Europe	Europe	NA	NA
Saudi Arabia	SAU	682	Western Asia	Asia	25	45
Senegal	SEN	686	Western Africa	Africa	14	-14
Serbia	SRB	688	Southern Europe	Europe	44	21
Seychelles	SYC	690	Eastern Africa	Africa	-4.58	55.67
Sierra Leone	SLE	694	Western Africa	Africa	8.5	-11.5
Singapore	SGP	702	South-eastern Asia	Asia	1.37	103.8
Sint Maarten (Dutch part)	SXM	534	Caribbean	North America	NA	NA
Slovakia	SVK	703	Eastern Europe	Europe	48.67	19.5
Slovenia	SVN	705	Southern Europe	Europe	46	15
Solomon Islands	SLB	90	Melanesia	Oceania	-8	159
Somalia	SOM	706	Eastern Africa	Africa	10	49
South Africa	ZAF	710	Southern Africa	Africa	-29	24
South Georgia and the South Sandwich Islands	SGS	239	South America	South America	-54.5	-37
South Sudan	SSD	728	Eastern Africa	Africa	15	30
Spain	ESP	724	Southern Europe	Europe	40	-4
Sri Lanka	LKA	144	Southern Asia	Asia	7	81
State of Palestine	PSE	275	Western Asia	Asia	NA	NA
Sudan	SDN	729	Northern Africa	Africa	15	30
Suriname	SUR	740	South America	South America	4	-56
Svalbard and Jan Mayen Islands	SJM	744	Northern Europe	Europe	NA	NA
Sweden	SWE	752	Northern Europe	Europe	62	15
Switzerland	CHE	756	Western Europe	Europe	47	8
Syrian Arab Republic	SYR	760	Western Asia	Asia	35	38
Tajikistan	TJK	762	Central Asia	Asia	39	71
Tanzania	TZA	834	Eastern Africa	Africa	-6	35
Thailand	THA	764	South-eastern Asia	Asia	15	100
Timor-Leste	TLS	626	South-eastern Asia	Asia	NA	NA
Togo	TGO	768	Western Africa	Africa	8	1.17
Tokelau	TKL	772	Polynesia	Oceania	-9	-172
Tonga	TON	776	Polynesia	Oceania	-20	-175
Trinidad and Tobago	TTO	780	Caribbean	North America	11	-61
Tunisia	TUN	788	Northern Africa	Africa	34	9
Turkey	TUR	792	Western Asia	Asia	39	35
Turkmenistan	TKM	795	Central Asia	Asia	40	60
Turks and Caicos Islands	TCA	796	Caribbean	North America	21.75	-71.58
Tuvalu	TUV	798	Polynesia	Oceania	-8	178
Uganda	UGA	800	Eastern Africa	Africa	1	32
Ukraine	UKR	804	Eastern Europe	Europe	49	32
United Arab Emirates	ARE	784	Western Asia	Asia	24	54
United Kingdom		NA		Europe	54	-2
United Kingdom of Great Britain and Northern Ireland	GBR	826	Northern Europe	Europe	54	-2
United Republic of Tanzania	TZA	834	Eastern Africa	Africa	-6	35
United States Minor Outlying Islands	UMI	581	Micronesia	Oceania	19.28	166.6
United States of America	USA	840	Northern America	North America	38	-97
United States Virgin Islands	VIR	850	Caribbean	North America	NA	NA
Uruguay	URY	858	South America	South America	-33	-56
USA	USA	840	Northern America	North America	38	-97
Uzbekistan	UZB	860	Central Asia	Asia	41	64
Vanuatu	VUT	548	Melanesia	Oceania	-16	167
Venezuela (Bolivarian Republic of)	VEN	862	South America	South America	NA	NA
Viet Nam	VNM	704	South-eastern Asia	Asia	NA	NA
Wallis and Futuna Islands	WLF	876	Polynesia	Oceania	NA	NA
Western Sahara	ESH	732	Northern Africa	Africa	24.5	-13
Yemen	YEM	887	Western Asia	Asia	15	48
Zambia	ZMB	894	Eastern Africa	Africa	-15	30
Zimbabwe	ZWE	716	Eastern Africa	Africa	-20	30
